Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bosnia and Herzegovina,BIH,55.7808947028023
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Botswana,BWA,37.7659524881694
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Brazil,BRA,14.2767004326273
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,British Virgin Islands,VGB,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Brunei Darussalam,BRN,41.964043494891
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bulgaria,BGR,64.3108705743695
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Burkina Faso,BFA,37.2388430772549
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Burundi,BDI,30.5033368824551
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cabo Verde,CPV,68.2078053781849
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cambodia,KHM,63.3028853207448
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cameroon,CMR,23.6975689193905
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Canada,CAN,34.0930504449183
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cayman Islands,CYM,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Central African Republic,CAF,46.9800224539673
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Chad,TCD,37.8810921062285
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Channel Islands,CHI,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Chile,CHL,28.7191327028464
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,China,CHN,18.7313138032856
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Colombia,COL,20.8253458573742
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Comoros,COM,29.8465449183026
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Congo, Dem. Rep.",COD,37.3422312884634
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Congo, Rep.",COG,56.0218574027979
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Costa Rica,CRI,33.2420840335805
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cote d'Ivoire,CIV,29.2470562631073
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Croatia,HRV,51.3615432817724
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cuba,CUB,12.5931035861752
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Curacao,CUW,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cyprus,CYP,72.2795717929557
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Czech Republic,CZE,72.0030708959607
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Denmark,DNK,49.5945167161173
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Djibouti,DJI,178.881328667234
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Dominica,DMA,65.095817562071
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Dominican Republic,DOM,28.504535080793
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Ecuador,ECU,23.0467920375474
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Egypt, Arab Rep.",EGY,29.3662955784919
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,El Salvador,SLV,48.6179529493035
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Equatorial Guinea,GNQ,43.3468044957638
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Eritrea,ERI,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Estonia,EST,70.7437935394783
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Eswatini,SWZ,43.9119686281662
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Ethiopia,ETH,22.798726646213
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Faroe Islands,FRO,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Fiji,FJI,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Finland,FIN,39.2931632352753
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,France,FRA,32.1109689812119
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,French Polynesia,PYF,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Gabon,GAB,21.5123688593313
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Gambia, The",GMB,41.5109863180911
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Georgia,GEO,61.1971488341745
