Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Suriname,SUR,66.06
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sweden,SWE,87.431
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Switzerland,CHE,73.797
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Syrian Arab Republic,SYR,54.162
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Tajikistan,TJK,27.134
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Tanzania,TZA,33.776
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Thailand,THA,49.949
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Timor-Leste,TLS,30.578
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Togo,TGO,41.702
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Tonga,TON,23.131
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Trinidad and Tobago,TTO,53.184
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Tunisia,TUN,68.945
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Turkey,TUR,75.143
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Turkmenistan,TKM,51.593
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Turks and Caicos Islands,TCA,93.098
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Tuvalu,TUV,62.387
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Uganda,UGA,23.774
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Ukraine,UKR,69.352
Urban population (% of total population),SP.URB.TOTL.IN.ZS,United Arab Emirates,ARE,86.522
Urban population (% of total population),SP.URB.TOTL.IN.ZS,United Kingdom,GBR,83.398
Urban population (% of total population),SP.URB.TOTL.IN.ZS,United States,USA,82.256
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Uruguay,URY,95.334
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Uzbekistan,UZB,50.478
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Vanuatu,VUT,25.274
