Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bolivia,BOL,3370
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bosnia and Herzegovina,BIH,5740
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Botswana,BWA,7750
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Brazil,BRA,9140
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,British Virgin Islands,VGB,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Brunei Darussalam,BRN,29660
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bulgaria,BGR,8860
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Burkina Faso,BFA,670
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Burundi,BDI,280
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Cabo Verde,CPV,3420
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Cambodia,KHM,1390
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Cameroon,CMR,1440
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Canada,CAN,44940
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Cayman Islands,CYM,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Central African Republic,CAF,490
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Chad,TCD,670
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Channel Islands,CHI,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Chile,CHL,14670
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,China,CHN,9460
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Colombia,COL,6180
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Comoros,COM,1380
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Congo, Dem. Rep.",COD,490
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Congo, Rep.",COG,1640
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Costa Rica,CRI,11520
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Cote d'Ivoire,CIV,1600
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Croatia,HRV,14000
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Cuba,CUB,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Curacao,CUW,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Cyprus,CYP,28570
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Czech Republic,CZE,20240
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Denmark,DNK,60140
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Djibouti,DJI,3190
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Dominica,DMA,7090
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Dominican Republic,DOM,7760
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Ecuador,ECU,6110
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Egypt, Arab Rep.",EGY,2800
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,El Salvador,SLV,3820
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Equatorial Guinea,GNQ,6840
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Eritrea,ERI,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Estonia,EST,21140
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Eswatini,SWZ,3930
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Ethiopia,ETH,790
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Faroe Islands,FRO,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Fiji,FJI,5860
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Finland,FIN,48280
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,France,FRA,41080
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,French Polynesia,PYF,..
