Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lithuania,LTU,1.63
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Luxembourg,LUX,1.37
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Macao SAR, China",MAC,1.217
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Madagascar,MDG,4.077
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Malawi,MWI,4.209
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Malaysia,MYS,2.001
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Maldives,MDV,1.87
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mali,MLI,5.877
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Malta,MLT,1.26
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Marshall Islands,MHL,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mauritania,MRT,4.561
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mauritius,MUS,1.41
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mexico,MEX,2.129
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Micronesia, Fed. Sts.",FSM,3.053
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Moldova,MDA,1.262
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Monaco,MCO,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mongolia,MNG,2.895
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Montenegro,MNE,1.745
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Morocco,MAR,2.415
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mozambique,MOZ,4.852
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Myanmar,MMR,2.154
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Namibia,NAM,3.396
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nauru,NRU,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nepal,NPL,1.917
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Netherlands,NLD,1.62
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,New Caledonia,NCL,1.97
